vin,failed,pool_size,pool,winner,k,inner_auroc,inner_youden,prob,prob_recal,pred_foldthr,tier
VIN1_F_SM,1,6,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|dip_depth_last90_delta|vsi_trend_persistence|rest_vsi_p05_delta90|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|dip_depth_last90_delta|rest_vsi_p05_delta90|vsi_range_trend,4,0.9538,0.3956,0.4057,0.2596,1,GREEN
VIN1_NF_SM,0,6,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|vsi_range_trend|vsi_trend_persistence|dip_depth_last90_delta,vsi_withinwk_std_ratio_30d_w|vsi_range_trend|dip_depth_last90_delta,3,0.9323,0.3871,0.3125,0.0656,0,GREEN
VIN20_NF_SM,0,7,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|vsi_trend_persistence|dip_depth_last90_delta|vsi_range_trend|failed_crank_rate_last90,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|dip_depth_last90_delta|vsi_range_trend,4,0.9511,0.4121,0.4924,0.6228,1,RED
VIN2_F_SM,1,6,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|vsi_trend_persistence|first_crank_fail_rate_last90|vsi_range_trend|rest_vsi_p05_delta90,vsi_withinwk_std_ratio_30d_w|vsi_range_trend|rest_vsi_p05_delta90,3,0.9269,0.3983,0.5984,0.9042,1,RED
VIN2_NF_SM,0,8,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|dip_depth_last90_delta|failed_crank_rate_last90|vsi_trend_persistence|vsi_range_trend|first_crank_fail_rate_last90,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|dip_depth_last90_delta|vsi_range_trend,4,0.9511,0.4114,0.4561,0.4517,1,AMBER
VIN3_F_SM,1,7,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|failed_crank_rate_last90|vsi_trend_persistence|rest_vsi_p05_delta90|first_crank_fail_rate_last90|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0.9462,0.3939,0.438,0.3381,1,GREEN
VIN3_NF_SM,0,5,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|vsi_range_trend|vsi_trend_persistence,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0.9286,0.4022,0.3106,0.0563,0,GREEN
VIN4_F_SM,1,8,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|vsi_trend_persistence|dip_depth_last90_delta|rest_vsi_p05_delta90|vsi_range_trend|failed_crank_rate_last90|first_crank_fail_rate_last90,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0.95,0.3908,0.4286,0.3393,1,GREEN
VIN4_NF_SM,0,7,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|failed_crank_rate_last90|dip_depth_last90_delta|vsi_range_trend|vsi_trend_persistence,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|dip_depth_last90_delta|vsi_range_trend,4,0.9323,0.4078,0.3478,0.1178,0,GREEN
VIN5_F_SM,1,7,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_std_ratio_30d_L40|dip_depth_last90_delta|failed_crank_rate_last90|vsi_trend_persistence|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|dip_depth_last90_delta|vsi_range_trend,4,0.9346,0.4046,0.7562,0.9918,1,RED
VIN5_NF_SM,0,8,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|dip_depth_last90_delta|vsi_trend_persistence|failed_crank_rate_last90|vsi_range_trend|first_crank_fail_rate_last90,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|dip_depth_last90_delta|vsi_range_trend,4,0.9549,0.4119,0.5952,0.9575,1,RED
VIN6_F_SM,1,5,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|vsi_trend_persistence|rest_vsi_p05_delta90|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0.9269,0.4006,0.8247,0.998,1,RED
VIN6_NF_SM,0,8,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|dip_depth_last90_delta|failed_crank_rate_last90|vsi_range_trend|vsi_trend_persistence|first_crank_fail_rate_last90,vsi_withinwk_std_ratio_30d_w|dip_depth_last90_delta|vsi_range_trend,3,0.9323,0.3875,0.316,0.0701,0,GREEN
VIN7_F_SM,1,8,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|dip_depth_last90_delta|rest_vsi_p05_delta90|failed_crank_rate_last90|first_crank_fail_rate_last90|vsi_trend_persistence|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|dip_depth_last90_delta|rest_vsi_p05_delta90|vsi_range_trend,4,0.9308,0.4018,0.6116,0.9056,1,RED
VIN7_NF_SM,0,6,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|vsi_trend_persistence|vsi_range_trend|dip_depth_last90_delta,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend|dip_depth_last90_delta,4,0.9323,0.4084,0.3611,0.1431,0,GREEN
VIN8_F_SM,1,7,vsi_withinwk_std_ratio_30d_w|vsi_range_trend|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|dip_depth_last90_delta|failed_crank_rate_last90|vsi_trend_persistence,vsi_withinwk_std_ratio_30d_w|vsi_range_trend|rest_vsi_p05_delta90|dip_depth_last90_delta,4,0.9346,0.3933,0.5207,0.7163,1,RED
VIN8_NF_SM,0,7,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|failed_crank_rate_last90|vsi_trend_persistence|rest_vsi_p05_delta90|vsi_range_trend|dip_depth_last90_delta,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend|dip_depth_last90_delta,4,0.9323,0.4058,0.2941,0.0484,0,GREEN
VIN9_F_SM,1,7,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|vsi_trend_persistence|dip_depth_last90_delta|failed_crank_rate_last90|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0.9462,0.4055,0.4008,0.2239,0,GREEN
VIN9_NF_SM,0,5,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|vsi_trend_persistence|rest_vsi_p05_delta90|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0.9323,0.403,0.332,0.0822,0,GREEN
