,crank_dur_mean,crank_dur_trend,multi_sample_rate,dip_depth_mean,dip_depth_trend,dip_depth_last90_delta,failed_crank_rate,failed_crank_rate_last90,retry_rate,recovery_slope_mean,recovery_slope_trend,crank_per_active_day,min_vsi_crank_p05,vsi_std_ratio_30d,vsi_dominant_freq,vsi_spectral_entropy,vsi_range_trend,progressive_drift,bat_charge_delta_trend,vsi_rest_median_trend,vsi_rest_p05_last90,rate_vsi_below_21,rate_vsi_above_32
vsi_std_ratio_30d,-0.009625668449197862,0.1103422890123373,-0.15630252100840336,0.10343773873185638,0.07379679144385026,0.14406158357771262,0.12421695951107715,0.1894069207204457,0.05148968678380443,0.009320091673032849,0.008097784568372804,0.0013750954927425516,-0.10500573942003669,1.0,0.1451600584876703,0.08907563025210084,0.36496133915495516,-0.08479755538579067,0.20916730328495034,-0.3872400028071676,-0.27181054239877767,0.23055767761650114,0.22322012471383867
vsi_dominant_freq,0.2062800831140578,0.12522946818374492,0.1940560781887803,0.07655283084455033,0.18045687270940908,-0.057739895760787176,0.07548323041358855,0.215451583982802,0.08694323503103621,0.12942165214637552,0.11643364691326819,0.041714416807509466,-0.2141547027622615,0.1451600584876703,1.0,0.1524944614428368,0.21202586915072713,0.2872641157440212,-0.0767056309061163,0.003301933159072094,-0.21529528674644996,-0.1280464515922818,-0.23736100671913019
vsi_spectral_entropy,-0.010847975553857907,-0.006694925400748555,-0.011153552330022918,-0.17708174178762415,-0.23666921313980138,-0.1279325513196481,0.0533231474407945,-0.09722216941235645,0.2565317035905271,-0.24736440030557677,-0.27517188693659284,0.06493506493506493,0.2734428934824536,0.08907563025210084,0.1524944614428368,1.0,-0.12667513647967485,-0.1685255920550038,-0.3277310924369748,0.33001086719132955,0.19572192513368983,-0.14224598930481283,-0.07521372242707797
vsi_range_trend,0.2557468295954517,0.22947286471887007,0.09295216095738304,-0.055463167864073855,-0.09397925665856958,-0.008862186284547614,0.11897191872077571,0.06750442613763236,0.01215396579737421,-0.1658759557416283,0.02841631439949463,-0.057688541883311385,-0.01070300257139508,0.36496133915495516,0.21202586915072713,-0.12667513647967485,1.0,-0.10288075273551972,0.09723172637899367,-0.17121877270832087,-0.18042647817510446,-0.02345201851042629,0.0216096823795136
progressive_drift,-0.047822765469824294,-0.2105182098235379,0.04904507257448434,0.40626432391138273,0.15874713521772346,0.039222873900293255,-0.07165775401069518,-0.0666618329131356,-0.21955691367456073,0.30970206264323913,0.05179526355996944,0.009014514896867838,-0.3432938729802073,-0.08479755538579067,0.2872641157440212,-0.1685255920550038,-0.10288075273551972,1.0,-0.058823529411764705,0.0457518639126617,-0.2608097784568373,0.19113827349121468,0.060848869860533034
bat_charge_delta_trend,0.22658517952635598,-0.010662288601192142,0.15446906035141328,0.4991596638655462,0.3815126050420168,0.4846041055718475,0.24216959511077157,0.2501917658452696,0.045989304812834225,0.4160427807486631,0.48663101604278075,-0.11413292589763178,-0.612915596905891,0.20916730328495034,-0.0767056309061163,-0.3277310924369748,0.09723172637899367,-0.058823529411764705,1.0,-0.9359479239590209,-0.6256684491978609,0.4209320091673033,0.3502441580831742
vsi_rest_median_trend,-0.27089505677496944,0.0502659225606017,-0.15360677334251024,-0.39384336460899505,-0.4391235598215262,-0.4823318194077877,-0.3476198319962028,-0.29442272196128905,-0.11964662693311187,-0.2966796123821052,-0.4447835842230926,0.10549656592919587,0.5221795236717648,-0.3872400028071676,0.003301933159072094,0.33001086719132955,-0.17121877270832087,0.0457518639126617,-0.9359479239590209,1.0,0.6193010032713898,-0.4120812210140423,-0.28683289584740884
vsi_rest_p05_last90,-0.2904507257448434,-0.16638129421860298,-0.19480519480519481,-0.5431627196333079,-0.46554621848739497,-0.5472873900293255,-0.24369747899159663,-0.48090551502070616,-0.04232238349885409,-0.40962566844919784,-0.47104660045836516,-0.12421695951107715,0.6208636295839723,-0.27181054239877767,-0.21529528674644996,0.19572192513368983,-0.18042647817510446,-0.2608097784568373,-0.6256684491978609,0.6193010032713898,1.0,-0.441100076394194,-0.2280622098486291
rate_vsi_below_21,0.2748663101604278,0.12323621941377895,0.16455309396485868,0.2696715049656226,0.23911382734912145,0.3977272727272727,0.33231474407944994,0.12224134599688341,0.19327731092436976,0.09793735676088618,0.23422459893048128,0.41237585943468297,-0.33794423560072945,0.23055767761650114,-0.1280464515922818,-0.14224598930481283,-0.02345201851042629,0.19113827349121468,0.4209320091673033,-0.4120812210140423,-0.441100076394194,1.0,0.30731100322136573
rate_vsi_above_32,-0.21934645660600632,-0.14852031242579125,-0.1707642024202757,0.2861672314661142,0.13041349296368884,0.3420773942105015,-0.17092560525810208,-0.09647394150877253,-0.24888317592822795,0.19594304512118593,0.1333187440445631,0.014687658242197628,-0.2522883193294702,0.22322012471383867,-0.23736100671913019,-0.07521372242707797,0.0216096823795136,0.060848869860533034,0.3502441580831742,-0.28683289584740884,-0.2280622098486291,0.30731100322136573,1.0
