vin_label,failed,n_events_with_slope,n_baseline,n_final_90,bl_recovery_slope,f90_recovery_slope,recovery_slope_delta90,recovery_slope_delta180,slow_recovery_rate_90,ts_recovery_slope_trend,bl_dip,f90_dip,dip_delta90,re_bl,re_f90,recovery_efficiency_delta90
VIN3_F_SM,1,262,44,96,1.302954526381059,1.7312430295679304,0.4282885031868715,0.36536959387509094,0.08333333333333333,0.00271910335240739,5.653206848516697,6.884333610534668,1.231126762017971,0.2688410478451406,0.5593903679626576,0.290549320117517
VIN3_NF_SM,0,240,169,39,1.1848638884414582,1.246786404471112,0.06192251602965393,0.06812674332470459,0.28205128205128205,0.00026408917090761967,4.266001968932667,3.941652536392212,-0.3243494325404548,0.5629476723146709,0.7810899726814926,0.2181423003668217
VIN4_F_SM,1,243,96,147,1.1671945134798685,0.989265342202046,-0.17792917127782248,-0.10763616534090459,0.29931972789115646,-0.0018604722133902596,4.234462395142973,4.425254450124853,0.19079205498187957,0.6469367761927235,0.41124413054120007,-0.23569264565152342
VIN4_NF_SM,0,1014,534,257,1.2052445079032155,1.6047968082913755,0.39955230038816003,0.34338347116161505,0.14785992217898833,0.0009266663657294379,4.608116435153144,5.51836315596976,0.9102467208166161,0.4951226422521879,0.5337872096708647,0.0386645674186768
VIN5_F_SM,1,76,76,0,0.9460739272071007,NaN,NaN,NaN,NaN,0.002254716405328715,3.812721594056087,NaN,NaN,0.2493993694257754,NaN,NaN
VIN5_NF_SM,0,744,591,73,0.9936191904707625,1.2504680529032666,0.25684886243250404,0.2559450934985932,0.1232876712328767,0.00035165783414457894,4.572122048877534,5.720488945643107,1.1483668967655731,0.38250265069124595,0.2492284548777792,-0.13327419581346675
VIN6_F_SM,1,191,88,54,1.2824280839977844,1.826707897004612,0.5442798130068276,0.341329301081035,0.2037037037037037,0.0016970051380029686,4.420871295626202,8.497091364860534,4.076220069234332,0.7139685859040928,0.42695209263250755,-0.2870164932715853
VIN6_NF_SM,0,672,568,85,1.0643062061645445,1.5262686549915987,0.4619624488270542,0.4646153014018586,0.10588235294117647,0.0008195132744021532,4.451028955661185,5.662709397536058,1.211680441874873,0.35558032788959165,0.5974223568368289,0.24184202894723722
VIN7_F_SM,1,769,491,179,1.1676211494770155,1.332654544894256,0.1650333954172405,0.1598890329288183,0.16759776536312848,0.0004444461398654509,4.21438505745385,4.340489363368554,0.126104305914704,0.566344899987966,0.6773362053767216,0.11099130538875557
VIN7_NF_SM,0,583,503,29,1.2371578692821104,1.3273333100066789,0.09017544072456851,0.0049837399097840684,0.2413793103448276,0.00015747941385103978,3.9858251731852534,4.257765981886122,0.27194080870086834,0.5797196410731216,0.30407780616126245,-0.2756418349118591
VIN8_NF_SM,0,495,358,95,1.4262200880951308,1.3121942042650785,-0.1140258838300523,-0.06829711533524563,0.29473684210526313,0.0005573129465457479,4.831867795241506,5.010721516896443,0.17885372165493685,0.6005778257859478,0.43675222359517246,-0.1638256021907753
VIN9_NF_SM,0,128,92,16,1.2044474853985552,1.2037812173366549,-0.0006662680619002881,0.06767749648163313,0.375,0.00009112643966857785,4.682292219521343,3.69023981961337,-0.9920523999079727,0.57184927750914,0.8138207104574205,0.2419714329482805
