vin_label,failed,d_vsi_rest_median,z_vsi_rest_median,d_vsi_rest_p05,z_vsi_rest_p05,d_vsi_drive_mean,z_vsi_drive_mean,d_vsi_drive_std,z_vsi_drive_std,d_vsi_drive_p95,z_vsi_drive_p95,d_rpm_mean,z_rpm_mean,d_csp_mean,z_csp_mean,d_anr_pos_mean,z_anr_pos_mean,d_sma1_per_aday,z_sma1_per_aday,d_rows_per_aday,z_rows_per_aday
VIN9_F_SM,true,0.0,0.0,0.09999847412109375,0.06113112787545996,-0.06662750244140625,-1.0955704310389767,0.0210580974817276,0.5099584039561529,0.0,0.0,-98.88458251953125,-1.13689232706009,-6.162988662719727,-1.535868189868496,-51.540496826171875,-0.7082764510039615,0.3571428571428572,0.154915789434841,1156.8214285714312,0.38078732364612056
VIN3_F_SM,true,-0.9899978637695312,-1.0494378673044982,-1.3999996185302734,-0.9767706036499166,0.42413330078125,1.749895085372165,0.42136502265930176,1.236696407039969,1.0,1.1290311856781172,58.72772216796875,0.44804254517147485,4.913034439086914,0.9662589891219925,74.08534240722656,1.057199293074862,0.2142857142857143,0.27203552099199235,239.64285714285688,0.0993183609157281
VIN6_F_SM,true,-1.0,-0.8581739182119685,-3.1899986267089844,-1.5089572111397243,0.7187614440917969,2.9849526042741243,1.236397162079811,2.9664088728125146,3.200000762939453,3.290348566546584,49.84521484375,0.7629946688687699,2.2840957641601562,0.44434895926097434,-44.1456298828125,-0.4849969406143917,0.28571428571428575,0.7236936970759152,400.3571428571422,0.1738073303964695
VIN8_F_SM,true,-0.20000076293945312,-0.4900694460368117,-0.10000038146972656,-0.17608784408556444,-0.02423858642578125,-0.45294521778592667,0.059945300221443176,1.064672275775262,0.0,0.0,-170.32440185546875,-1.0184107840209653,-7.692442893981934,-1.0459925653334357,-19.503570556640625,-0.1663196431284232,0.8571428571428572,0.3179665749683268,1446.1428571428569,0.36703796876830125
VIN14_F_SM,true,-2.0999984741210938,-1.3996593824947074,-2.5900001525878906,-0.975008735207477,0.7108669281005859,3.5412850138725247,1.1500839591026306,3.8448228605792916,3.0999984741210938,4.35508682399215,-24.983154296875,-0.32871792668486166,-3.284290313720703,-0.7870023858058265,-49.27191162109375,-0.5924445923224003,-0.9285714285714286,-0.34638088607888573,-143.9999999999991,-0.05724630780416364
VIN5_F_SM,true,-0.21000099182128906,-0.11618837779848636,-0.18999862670898438,-0.08626244908925156,0.18302345275878906,4.6392808309726155,0.3028949126601219,7.603408584020895,0.6949996948242188,4.511342863446601,57.25946044921875,0.84089251369217,0.9336032867431641,0.1537022512471624,13.74114990234375,0.10617667296584907,0.0,0.0,-302.07142857142844,-0.1661677349554136
VIN10_F_SM,true,-0.7999992370605469,-0.7677187648647357,-0.7999992370605469,-0.44841573311871,-0.5086250305175781,-8.735644262519648,0.37715667486190796,11.046650889200947,-0.20000076293945312,-7.211102460366992,-40.7933349609375,-0.3177718061070793,-2.481884002685547,-0.31986432790111513,14.13818359375,0.11629050411147854,0.49999999999999994,1.2805572775422491,1457.0714285714294,0.6134604023430407
VIN10_NF_SM,false,-0.6000003814697266,-0.2993906031249316,-2.3000011444091797,-1.208960356433182,-0.04908943176269531,-0.6349041400239057,0.008177697658538818,0.07086312966943233,0.0,0.0,10.65826416015625,0.19055418668144905,-0.1693267822265625,-0.04187678034749907,19.41717529296875,0.4640466787511016,-0.080952380952381,-0.04510074455138438,-252.85714285714312,-0.125408169535562
VIN1_NF_SM,false,0.10000038146972656,0.2835884282233812,0.10000038146972656,0.10936195595909722,0.1587543487548828,1.8782886240717929,-0.027206942439079285,-0.7727884136782119,0.0,0.0,-18.806396484375,-0.12031503214544997,0.09947967529296875,0.015601779505060198,18.49066162109375,0.16821242613488877,0.2857142857142857,0.6990624444181536,-1578.5,-0.44732677106664404
VIN6_NF_SM,false,-0.4099998474121094,-0.5681359953833235,-0.48999977111816406,-0.2343282477658122,0.15215492248535156,0.8402286329698933,-0.008515693247318268,-0.03314615154932623,0.0,0.0,41.42327880859375,0.2547307223971327,5.137426376342773,0.6244153837826021,46.8829345703125,0.4225897326836474,-0.0714285714285714,-0.032728017238923136,1272.8571428571431,0.4560966848844715
