vin_label,failed,total_rows,n_weeks,active_days_total,rows_per_week,vsi_rest_median_med,vsi_rest_p05_med,vsi_drive_mean_med,vsi_drive_std_med,vsi_drive_p95_q90,vsi_below21_rate,vsi_above32_rate,rpm_mean_med,csp_mean_med,anr_pos_mean_med,sma1_per_active_day,ged3_rate,rows_week_cv,weeks_lt2_active,n_events,crank_dur_med_ms,dip_depth_med,dip_depth_p90,recovery_slope_med,rpm_max15_med,rpm_max15_p10,success_rate,retry_rate,baseline_vsi_med,min_vsi_crank_med,min_vsi_crank_p05,n_gaps_1h_1d,n_gaps_gt1d,dt_p99,vsi_drive_median,vsi_drive_std,n_runs_ge30min,max_stuck_run,n_bouts_ge3h,bout_hours_median,rest_slope_vph_median,rest_slope_vph_p10,vsi_settled_median,vsi_settled_p05,vsi_bout_start_median,events_per_active_day
VIN13_F_SM,true,1629920,67,460,24327.16417910448,24.6,23.39,28.4187,0.56383854,31.8,0.00020866528875255807,0.00915574789914894,986.709,30.500673,426.93973,0.3826086956521739,0.0,0.5181717013045978,0,158,5.0,5.810001373291016,9.247058868408203,1.3599998474121093,796.3899841308594,603.3499755859375,0.9873417721518988,0.012658227848101266,28.15999984741211,21.200000762939453,15.399999618530273,7,2,900.0,28.2,0.97288114,18,1144,2,4.217499999999999,-0.1590910677384901,-0.21527237935777074,22.7,21.2,23.195,0.34347826086956523
VIN2_NF_SM,false,3339979,103,687,32426.980582524273,24.8,24.6,28.068777,0.1024755,28.39,0.00033715070330493353,0.0,963.9028,25.570484,429.40366,0.4483260553129549,0.0,0.4412225463042615,1,281,5.5,5.0,8.40000057220459,1.3200000762939452,610.5499877929688,598.8800048828125,0.9110320284697508,0.05693950177935943,25.389999389648438,21.200000762939453,15.399999618530273,17,11,899.0,28.0,0.13397221,0,326,1,14.571944444444444,-0.040488773124085595,-0.040488773124085595,25.0,25.0,25.39,0.4090247452692867
VIN16_NF_SM,false,5315087,93,575,57151.47311827957,24.8,24.6,28.001465,0.10694412,28.2,0.00031734541321048977,1.8979988828378575e-7,909.2501,19.536028,346.78302,0.542608695652174,0.0,0.5318755420451722,3,254,5.5,4.829410552978516,7.599338531494141,1.1200000762939453,779.9150085449219,602.5499877929688,0.9763779527559056,0.027559055118110236,27.811763763427734,22.0,18.0,21,22,15.0,28.0,0.27182043,84,2214,1,4.147222222222222,0.33757525965900764,0.33757525965900764,24.39,24.39,24.6,0.44173913043478263
VIN6_NF_SM,false,3573023,93,602,38419.602150537634,24.6,24.39,28.016266,0.10603576,28.2,0.0002805980466214666,0.000022540316824381455,847.5164,25.039337,426.12766,1.4983388704318936,0.0,0.5253104932257039,1,685,11.0,4.451999664306641,7.857143402099609,1.0819999694824218,683.6699829101562,187.19000244140625,0.8467153284671532,0.09927007299270073,26.0,21.799999237060547,16.600000381469727,21,16,445.0,28.0,0.13674204,3,846,18,4.8334722222222215,-0.11680985839019031,-0.22579026593075763,25.400002,24.6,25.39,1.1378737541528239
VIN15_NF_SM,false,3191966,107,721,29831.457943925234,24.6,24.0,27.998672,0.111448295,28.2,0.000572491538840428,0.0,851.93964,23.287743,442.70245,1.5589459084604715,0.0,0.470418934139976,0,942,10.0,4.1399993896484375,7.527647018432617,1.2,757.6749877929688,595.8300170898438,0.9012738853503185,0.06369426751592357,25.18660831451416,21.389999389648438,17.0,13,8,900.0,28.0,0.11844713,18,1107,58,4.073333333333333,-0.18507770603025225,-0.5966686003149084,24.2,23.0,25.0,1.3065187239944522
VIN10_F_SM,true,1837988,62,416,29644.967741935485,25.0,24.8,27.839188,0.11026378,28.0,0.000022859729909503348,0.0,914.0615,18.27922,370.16437,0.38461538461538464,0.0,0.5752865896932167,2,140,10.0,4.384860038757324,7.752941131591797,0.9409999847412109,616.0700073242188,0.0,0.7571428571428571,0.14285714285714285,27.63949966430664,21.799999237060547,18.0,5,4,900.0,27.8,0.40859243,4,1978,2,14.033749999999998,-0.13989739587141356,-0.2023950075898128,24.1,24.0,25.095,0.33653846153846156
VIN11_F_SM,true,2702394,65,445,41575.29230769231,24.8,24.39,28.10512,0.115470044,28.2,0.00011315003279465118,0.0,957.2522,32.736317,480.7072,0.46292134831460674,0.0,0.36183973337894926,0,192,5.0,4.599998474121094,8.600000381469727,1.2800001144409179,614.635009765625,601.5900268554688,0.953125,0.036458333333333336,25.416248321533203,21.600000381469727,16.600000381469727,6,3,501.0,28.2,0.18263948,0,350,3,4.4366666666666665,-0.11671248392843121,-0.584415425174975,24.39,24.2,25.2,0.4314606741573034
VIN8_NF_SM,false,3349684,103,692,32521.203883495145,24.39,24.2,27.910776,0.117973655,28.2,0.001576365879098175,9.21671728180574e-6,823.99896,29.141571,431.67654,0.9190751445086706,0.0,0.39857944759176867,0,511,10.0,4.799999237060547,8.576469421386719,1.2819999694824218,631.8300170898438,169.44000244140625,0.8610567514677103,0.060665362035225046,25.0,20.799999237060547,14.399999618530273,15,9,899.0,28.0,0.13577121,12,1240,29,4.856944444444444,-0.12311948470964967,-0.5380592415423662,24.39,23.2,25.0,0.7384393063583815
VIN7_NF_SM,false,3991540,104,706,38380.192307692305,24.6,24.2,27.809345,0.09260665,28.0,0.00015465448549218023,0.00003738336900969919,959.8218,32.449574,451.77524,0.8597733711048159,0.0,0.47762224658269886,0,584,5.0,3.8811779022216797,6.599996566772461,1.2,687.9949951171875,604.3200073242188,0.9965753424657534,0.018835616438356163,25.188236236572266,21.799999237060547,18.200000762939453,13,8,845.0,27.8,0.22402655,54,42133,5,3.8825,-0.23042435887171717,-0.636604774535809,24.2,23.6,25.0,0.8271954674220963
VIN1_NF_SM,false,4500188,99,642,45456.444444444445,25.0,24.6,28.039661,0.090124,28.2,0.00002089792476792514,9.767508315443272e-6,986.96277,20.501581,377.1107,0.4672897196261682,0.0,0.5470480218238076,1,290,5.0,4.739412307739258,7.500587463378906,1.1999999046325684,666.1499938964844,603.030029296875,0.993103448275862,0.013793103448275862,27.411251068115234,21.799999237060547,18.0,9,13,16.0,28.0,0.12612537,10,991,3,3.332777777777778,0.06064144530674245,-0.06301079934627776,25.0,24.39,24.6,0.4517133956386293
VIN12_NF_SM,false,3192514,106,723,30118.056603773584,25.0,24.4,28.0,0.1565163,28.2,0.0003468915571176584,0.00003272561859600551,869.37354,29.657854,500.36304,0.6708160442600276,0.0,0.39754040316101485,0,480,5.0,4.666666030883789,7.600000381469727,1.2,622.0,601.9199829101562,0.9416666666666667,0.0375,27.44999885559082,21.799999237060547,18.0,38,7,903.0,28.0,0.17347385,0,12,4,3.5727777777777776,-0.23859167583371083,-3.7712789175032735,24.4,24.1,25.5,0.6639004149377593
VIN2_F_SM,true,843430,25,163,33737.2,24.2,23.6,27.60813,0.1049737,27.8,0.00014037142763792402,0.0,864.50354,31.263714,433.65796,0.9079754601226994,0.0,0.4462717675893296,0,136,10.0,4.322221755981445,8.600000381469727,1.2,610.7149963378906,0.0,0.8088235294117647,0.09558823529411764,24.600000381469727,20.799999237060547,13.600000381469727,5,5,898.0,27.6,0.12127504,10,1151,1,7.493611111111111,-0.08140275780352245,-0.08140275780352245,23.6,23.6,24.0,0.8343558282208589
VIN14_NF_SM,false,3422746,108,719,31692.09259259259,24.8,24.39,28.07505,0.11494812,28.39,0.00011887619581836554,0.00045609032918252307,942.7271,26.40147,467.60297,0.46453407510431155,0.0,0.38126074728645115,1,207,5.0,4.736841201782227,8.328571319580078,1.236666520436605,849.1099853515625,603.8300170898438,0.966183574879227,0.024154589371980676,25.855552673339844,21.600000381469727,17.200000762939453,19,7,900.0,28.0,0.27000347,52,4816,16,4.151666666666666,-0.2429468488970527,-0.3911976709342528,24.2,24.0,25.295,0.28789986091794156
VIN5_F_SM,true,1275868,33,219,38662.666666666664,24.6,24.39,27.542526,0.11802432,28.39,0.0002566829525736264,0.0,945.7825,29.744947,549.0017,0.6164383561643836,0.0,0.38255451268883284,1,79,15.0,3.8100013732910156,5.893529891967773,0.959000015258789,618.8800048828125,189.75,0.759493670886076,0.20253164556962025,25.14285659790039,21.600000381469727,18.600000381469727,3,2,627.0,27.6,0.27192208,0,271,,,,,,,,0.3607305936073059
