vin_label,engine_hours_per_day,km_per_day,trips_per_day,mean_trip_duration_min,mean_trip_km,short_trip_share,idle_share,stop_density,overnight_off_share,soak_before_crank_median,soak_before_crank_p90,overnight_start_share,hot_restart_share,starts_per_active_day,starts_per_100km,crank_success_ratio,crank_dur_p95,cranks_per_trip,weekly_crank_rate,pre_crank_vsi_median,hard_start_goodv_rate,lowv_crank_share,dip_resid_last90_median,dropout_hours_per_week,heartbeat_coverage_share,vsi_valid_share,monsoon_start_share,dip_depth_last90_level,lowv_consecutive_events_max,consecutive_high_crank_days_max90,weekly_engine_hours_trend,rest_vsi_trend_12w,voltage_stress_index
VIN15_NF_SM,4.8117367853290185,141.57458008884998,25.276005547850207,11.458816213052385,5.575539282677746,0.7797410008779632,0.15809413208572046,5.252990068973999,0.0,0.020277777777777777,0.17972222222222234,0.0,0.8205666316894019,1.3065187239944522,0.9228483836395641,0.9012738853503185,10.0,0.0516900790166813,8.906542056074766,25.18660831451416,0.0,0.5801526717557252,-0.03404124738683123,5.880417964693666,0.0,0.8492569002123143,0.2802547770700637,4.4174646421243215,19.0,3.0,-1.4772106481481477,0.0,0.06769400379590236
VIN16_NF_SM,11.621066183574879,234.8820267651558,26.876521739130435,26.692642681506406,8.707779007414763,0.4415038177818041,0.2068065461827673,2.312741474368117,0.0,0.012916666666666667,0.23333333333333334,0.0,0.5542635658914729,0.44173913043478263,0.18806851103871416,0.9763779527559056,5.0,0.016435874207324966,2.774193548387097,27.811763763427734,0.0,0.35714285714285715,0.3029166829291299,42.197998805256866,0.0,0.8031496062992126,0.29133858267716534,5.769785336085728,10.0,0.0,-8.798291666666664,0.0,0.10157553934730341
VIN17_NF_SM,8.902926370693839,254.3076544217517,31.22707423580786,16.88372954831492,7.988831854329574,0.6817228359669977,0.12171894207734849,3.507506738301174,0.0,0.03222222222222222,0.2749166666666667,0.0,0.7913188647746243,1.3034934497816595,0.512565558730649,0.9916247906197655,5.0,0.04174241364844078,8.808823529411764,25.56424331665039,0.0,0.6307692307692307,0.23781594574739096,45.80780637254902,0.0,0.8877721943048577,0.23115577889447236,4.056517204871544,14.0,1.0,-1.4298020833333336,0.0,0.0107323809323729
VIN18_NF_SM,7.821823266219242,194.85543789522723,17.105704697986578,27.550102991662577,11.366614265572903,0.4224619911721432,0.19505378935110035,2.1869203785084745,0.03350515463917526,0.35041666666666665,3.000972222222227,0.03350515463917526,0.5103092783505154,0.6459731543624161,0.3315140502826267,0.9714285714285714,5.0,0.03776360961255518,4.127659574468085,27.896227836608887,0.0,0.4,-0.79930727955335,29.301128841607564,0.0,0.4051948051948052,0.36363636363636365,4.054958629608154,9.0,2.0,0.5110119047619051,-0.06666665607028538,-0.16973754734302315
VIN19_NF_SM,7.897360188261351,214.7043746677681,19.219269102990033,24.20764188994526,11.040756596202655,0.5418323249783924,0.1879728958404652,2.4336320801927696,0.0,0.004166666666666667,0.05394444444444446,0.0,0.39408866995073893,0.33554817275747506,0.15628380803917002,0.9702970297029703,5.0,0.01745894554883319,2.2065217391304346,28.129411697387695,0.043478260869565216,0.21739130434782608,-0.9974708727964803,14.77980072463768,0.0,0.8267326732673267,0.40594059405940597,4.730098143867824,4.0,2.0,-0.8907671957671954,0.0,-1.5987272654045845
VIN1_F_SM,4.910929872495446,126.63664090524802,28.57049180327869,10.323563614107567,4.406951126602607,0.7919439981638742,0.20158855354242172,5.8177356519165375,0.0,0.017083333333333332,0.12,0.0,0.8237410071942446,1.7901639344262295,1.4136224094617802,0.8974358974358975,5.0,0.06265779205875603,11.829787234042554,25.389999389648438,0.03418803418803419,0.6666666666666666,-0.12476732952375258,23.585159574468086,0.0,0.8644688644688645,0.1446886446886447,3.877004960487629,15.0,2.0,-2.775770202020202,-0.055714198521205356,0.9280155678994876
VIN1_NF_SM,9.098962011076496,189.0043219207484,23.646417445482864,22.874984080978415,7.935849517205594,0.4786245965351426,0.31274801741799063,2.59880384341612,0.0,0.01,0.17816666666666672,0.0,0.711340206185567,0.4517133956386293,0.2389963314320599,0.993103448275862,5.0,0.01910282590079705,2.9393939393939394,27.411251068115234,0.0,0.45161290322580644,0.12512738008483915,25.04719696969697,0.0,0.7620689655172413,0.3103448275862069,4.992094347553868,6.0,1.0,-2.615960648148147,0.0,-0.09963229523273397
VIN20_NF_SM,8.860633652822152,239.16580823912878,33.69329073482428,15.68951498198369,7.068406684665773,0.7128295088185094,0.19039074085536672,3.8025825302113483,0.0,0.002777777777777778,0.08941666666666673,0.0,0.5042125729099157,2.4313099041533546,1.0165792184317672,0.8744091829844699,5.0,0.07216006068651622,16.956043956043956,27.900001525878906,0.0,0.3333333333333333,0.14156899969004044,3.508843101343101,0.0,0.27989487516425754,0.14388961892247043,,8.0,1.0,4.88476851851852,0.1549999713897705,
VIN2_F_SM,6.513036809815951,211.25904020204575,19.116564417177916,20.44740051347882,11.00251549519889,0.7082798459563543,0.1305250075225349,2.9351230425055927,0.0,0.010555555555555556,0.13849999999999993,0.0,0.7299270072992701,0.8343558282208589,0.3949444376074465,0.8088235294117647,10.0,0.043645699614890884,5.48,24.600000381469727,0.021739130434782608,0.6956521739130435,1.8262266990535707,5.7065,0.0,0.7573529411764706,0.5441176470588235,5.512450107308322,12.0,2.0,1.0677380952380948,-0.036666456858317056,2.2723229507779674
VIN2_NF_SM,6.289997978327672,169.71092945938452,14.069868995633188,26.738954410649008,12.017172638767304,0.48086074901717357,0.2207417476369729,2.2368638343146108,0.0,0.006944444444444444,0.037666666666666675,0.0,0.8127208480565371,0.4090247452692867,0.24101261278353622,0.9110320284697508,5.0,0.029070970411752536,2.7475728155339807,25.389999389648438,0.0,0.5666666666666667,0.8999392640111736,15.86339805825243,0.0,0.6227758007117438,0.39501779359430605,5.505211448669433,10.0,1.0,-1.8860462962962958,0.03763621937144886,0.3876268670501817
