vin_label,age_week,weeks_to_fail,med_rul_wk
VIN8_F_SM,65,25.0,146.0
VIN8_F_SM,66,24.0,154.0
VIN8_F_SM,67,23.0,150.0
VIN8_F_SM,68,22.0,150.0
VIN8_F_SM,69,21.0,149.0
VIN8_F_SM,70,20.0,150.0
VIN8_F_SM,71,19.0,150.0
VIN8_F_SM,72,18.0,147.0
VIN8_F_SM,73,17.0,143.0
VIN8_F_SM,74,16.0,98.0
VIN8_F_SM,75,15.0,95.0
VIN8_F_SM,76,14.0,91.0
VIN8_F_SM,77,13.0,89.0
VIN8_F_SM,78,12.0,118.0
VIN8_F_SM,79,11.0,107.0
VIN8_F_SM,80,10.0,101.0
VIN8_F_SM,81,9.0,94.0
VIN8_F_SM,82,8.0,94.0
VIN8_F_SM,83,7.0,97.0
VIN8_F_SM,84,6.0,98.0
VIN8_F_SM,85,5.0,100.0
VIN8_F_SM,86,4.0,97.0
VIN8_F_SM,87,3.0,98.0
VIN8_F_SM,88,2.0,96.0
VIN8_F_SM,89,1.0,94.0
VIN9_F_SM,47,26.0,171.0
VIN9_F_SM,48,25.0,165.0
VIN9_F_SM,49,24.0,166.0
VIN9_F_SM,50,23.0,156.0
VIN9_F_SM,51,22.0,159.0
VIN9_F_SM,52,21.0,161.0
VIN9_F_SM,53,20.0,160.0
VIN9_F_SM,54,19.0,161.0
VIN9_F_SM,55,18.0,160.0
VIN9_F_SM,56,17.0,163.0
VIN9_F_SM,57,16.0,164.0
VIN9_F_SM,58,15.0,166.0
VIN9_F_SM,59,14.0,168.0
VIN9_F_SM,60,13.0,166.0
VIN9_F_SM,61,12.0,164.0
VIN9_F_SM,62,11.0,166.0
VIN9_F_SM,63,10.0,165.0
VIN9_F_SM,64,9.0,160.0
VIN9_F_SM,65,8.0,158.0
VIN9_F_SM,66,7.0,155.0
VIN9_F_SM,67,6.0,147.0
VIN9_F_SM,68,5.0,150.0
VIN9_F_SM,69,4.0,145.0
VIN9_F_SM,70,3.0,136.0
VIN9_F_SM,71,2.0,139.0
VIN9_F_SM,72,1.0,137.0
